13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215683775	0	7	46.5	0	-1.675057	0.161781	96176.38745	95800.42979	0.074823	96008.34727	0	0	96189.55195	95992.53933	95974.26862	95929.39392	96025.41407
3215683786	0	7	52	0	-3.61656	-3.434762	96147.58092	95791.69658	0.072804	96009.41817	0	0	96160.41631	96009.24899	95952.98181	95937.17014	95957.58925
3215683797	0	7	57.5	0	-2.077638	-4.414798	96133.71116	95742.27851	0.076368	96010.53874	0	0	96148.5226	95941.31092	95912.13534	95939.87723	95940.71488
3215683808	0	7	63	0	-5.58512	-1.211501	96201.01319	95765.61197	0.080527	96009.98839	0	0	96214.59782	96052.21063	95936.79975	95910.97236	95991.37465
3215683819	0	7	68.5	0	-5.525039	-0.274648	96160.98471	95766.52467	0.076653	96009.72931	0	0	96172.91768	96018.837	95915.97686	95892.53744	95986.47038
3215683830	0	7	74	0	-8.292114	-2.018686	96185.51308	95750.93107	0.080457	96008.86424	0	0	96196.11164	96061.32031	95879.93602	95906.62777	95969.09593
3215683841	0	7	79.5	0	-9.648818	0.73186	96184.19563	95773.05063	0.078252	96006.99862	0	0	96189.98478	96075.80374	95874.62962	95882.89181	96007.97941
3215683852	0	7	85	0	-7.865882	0.236785	96175.18105	95754.58786	0.079152	96007.31413	0	0	96184.75278	96047.97711	95883.78569	95877.01971	95991.57751
3215683862	0	7	90.5	0	-10.335549	1.383016	96131.14581	95783.66075	0.071944	96005.57248	0	0	96134.21887	96049.40583	95866.50709	95862.56569	95981.88102
3215683874	0	7	96	0	-8.499189	1.128093	96102.87164	95760.42658	0.071429	96002.78199	0	0	96109.23439	96001.52155	95856.21446	95851.18279	95962.68704
3215683885	0	7	101.5	0	-8.857521	1.205354	96110.82206	95744.3365	0.073897	96002.99597	0	0	96116.99571	96003.25525	95840.4689	95841.94034	95963.15831
3215683896	0	7	107	0	-6.963632	-0.605138	96080.50779	95725.28035	0.072762	96004.32714	0	0	96090.10001	95962.01907	95840.84143	95843.78665	95922.64513
3215683907	0	7	112.5	0	-5.549755	-0.438206	96019.6091	95745.18844	0.063956	96002.86305	0	0	96027.95114	95907.77278	95835.78994	95847.48258	95910.26167
3215683974	0	8	30	0	-1.602615	-0.547771	96043.79407	95829.90936	0.056444	96002.77901	0	0	96051.43229	95959.55571	95949.85267	95887.78506	95933.65709
3215683985	0	8	35.5	0	-4.912366	-2.08281	96107.97936	95814.96749	0.06606	96002.07965	0	0	96117.73958	96004.09836	95937.123	95920.6827	95960.02499
3215683996	0	8	41	0	-0.047543	-1.335187	96120.19904	95777.55119	0.071444	96001.72182	0	0	96132.81339	95946.09678	95959.39507	95904.51464	95961.75979
3215684007	0	8	46.5	0	-0.808747	2.38369	96116.05445	95800.75613	0.068529	96001.96282	0	0	96126.42576	95954.09066	95954.51136	95884.20019	96005.57675
3215684018	0	8	52	0	-2.746253	-2.655001	96144.30417	95740.97489	0.077519	95998.53913	0	0	96159.01738	95964.91635	95920.61887	95910.22328	95949.96591
3215684029	0	8	57.5	0	-4.844506	-1.844956	96141.47313	95762.98168	0.075089	95998.73225	0	0	96154.04834	95992.78182	95907.76473	95910.5433	95966.3567
